doctor_id,specialization,region,patients_seen,prescriptions,sales_generated,engagement_score
71,Cardiology,West,520,855,21552,82
72,General,South,579,472,23588,74
73,General,South,290,190,57490,56
74,General,South,624,518,43467,48
75,Cardiology,East,812,490,23637,20
76,General,West,439,725,72282,98
77,Oncology,East,181,209,83686,24
78,Oncology,South,116,591,71619,33
79,General,West,571,782,99653,38
80,General,South,298,888,52685,44
81,Cardiology,East,975,81,48201,98
82,Oncology,West,365,126,7392,67
83,Cardiology,West,317,156,36107,73
84,Oncology,North,368,103,96640,20
85,Cardiology,North,242,93,91378,4
86,Cardiology,West,243,124,76467,55
87,Oncology,North,962,406,44394,43
88,Cardiology,East,496,663,27930,62
89,General,East,122,57,38246,18
90,Oncology,South,230,260,24562,27
91,Cardiology,East,777,669,20158,24
92,Cardiology,West,679,121,15353,12
93,Cardiology,East,103,184,49709,12
94,General,North,650,266,42260,43
95,Cardiology,South,50,859,57712,87
96,General,North,422,787,15395,50
97,Oncology,South,421,310,82992,67
98,Cardiology,West,541,385,49899,22
99,Oncology,North,566,680,54749,73
100,Cardiology,West,755,134,73327,23
101,General,West,971,40,58478,37
102,Cardiology,West,341,371,7826,98
103,Oncology,South,315,128,47560,80
104,Oncology,West,290,544,2241,54
105,General,South,630,89,50347,66
106,Oncology,East,504,424,56000,19
107,Oncology,South,800,869,56009,11
108,General,East,228,102,16310,98
109,Cardiology,South,412,750,64245,76
110,General,West,815,532,77898,92
111,Oncology,South,233,593,90015,86
112,General,South,250,444,59855,56
113,General,East,502,581,18152,81
114,Cardiology,West,899,850,24111,78
115,General,North,693,652,90820,90
116,Oncology,North,929,664,61962,46
117,Oncology,South,868,336,22974,76
118,General,East,957,784,78208,48
119,Cardiology,West,875,710,70040,19
120,General,South,347,663,87770,69
121,Oncology,North,760,410,17843,41
122,General,West,452,864,47292,2
123,Oncology,West,501,424,29020,10
124,Cardiology,South,524,179,22408,36
125,Cardiology,South,283,754,11435,15
126,Oncology,North,55,273,54692,93
127,General,West,83,437,46010,90
128,Oncology,North,560,126,79785,81
129,Oncology,East,908,380,44885,63
130,Cardiology,West,563,755,3851,61
131,General,North,708,661,1274,4
132,Cardiology,East,816,447,63118,30
133,Oncology,West,147,487,5877,5
134,General,East,793,671,87815,63
135,General,North,899,625,90928,13
136,General,South,156,200,78303,52
137,Oncology,East,277,474,17142,25
138,Cardiology,West,228,97,5725,68
139,General,West,988,246,63027,20
140,General,North,174,691,20094,56
141,General,South,776,762,17765,19
142,General,North,971,367,92819,54
143,Oncology,West,777,138,93487,56
144,Cardiology,West,421,223,21040,100
145,Cardiology,West,310,411,87405,4
146,Cardiology,East,697,302,1541,45
147,Oncology,East,857,778,22462,18
148,General,North,839,216,67429,45
149,Cardiology,South,879,40,96527,60
150,General,East,120,721,92456,54
151,Cardiology,East,358,816,81151,37
152,Cardiology,East,560,407,3274,42
153,General,East,807,345,74573,34
154,Oncology,West,99,285,80557,58
155,Cardiology,East,836,279,10759,46
156,Oncology,South,392,804,43718,15
157,General,West,971,376,18710,52
158,General,West,646,668,74327,62
159,General,North,291,216,17030,27
160,Oncology,South,787,197,67461,87
161,General,South,102,793,72580,65
162,General,West,496,811,39305,59
163,Cardiology,South,378,490,1729,44
164,Oncology,South,103,662,25932,15
165,Cardiology,South,750,205,91476,69
166,General,West,549,466,88656,86
167,Cardiology,South,931,412,13091,70
168,Oncology,West,939,291,33809,3
169,Oncology,East,307,134,8019,13
170,Oncology,East,854,28,46146,14
171,General,West,131,90,15342,3
172,General,West,946,252,53701,7
173,Oncology,East,98,21,62597,86
174,Cardiology,South,942,793,19034,55
175,General,North,615,400,97775,14
176,Oncology,North,831,317,11852,73
177,Oncology,South,236,272,80652,53
178,Cardiology,East,104,50,50355,100
179,Cardiology,East,889,489,27347,57
180,Cardiology,North,299,301,25713,38
181,General,East,272,401,54387,6
182,Oncology,West,225,426,45572,44
183,Oncology,South,427,552,46191,10
184,General,South,629,164,78749,51
185,General,West,886,732,19155,84
186,General,North,849,451,78272,8
187,Oncology,South,306,570,78658,25
188,General,South,237,469,40218,58
189,Cardiology,East,766,75,47298,75
190,Cardiology,East,911,543,6802,53
191,Oncology,East,890,466,64912,51
192,Cardiology,West,835,717,85027,42
193,Cardiology,East,546,334,6418,61
194,Cardiology,North,227,703,57895,85
195,Oncology,West,461,383,56963,18
196,Cardiology,North,684,796,15592,41
197,General,West,956,777,70714,60
198,General,East,962,853,35638,100
199,Cardiology,North,719,840,16299,43
200,General,South,741,511,27187,75
201,Cardiology,North,965,101,36004,13
202,General,South,100,820,27193,19
203,Oncology,South,200,409,71252,72
204,General,East,111,184,39256,6
205,Oncology,North,455,695,58450,58
206,General,North,205,845,56764,41
207,Cardiology,East,940,632,49138,68
208,Oncology,North,684,183,22251,78
209,Cardiology,South,869,149,37649,65
210,General,South,200,277,2266,26
211,Oncology,West,948,831,62549,81
212,General,West,704,314,61022,92
213,General,East,892,452,6392,48
214,Cardiology,West,612,834,8779,40
215,General,East,173,128,1020,38
216,Oncology,North,890,685,75143,65
217,General,South,489,450,49744,93
218,General,South,668,171,19646,5
219,Oncology,East,875,531,23345,45
220,General,North,729,153,3749,29
221,Oncology,East,475,56,53686,64
222,General,East,156,61,76853,14
223,Oncology,South,202,232,9698,77
224,Oncology,North,837,194,19092,33
225,Oncology,East,334,847,2968,32
226,Oncology,North,989,614,5044,85
227,General,South,69,566,14265,82
228,General,North,247,439,64812,83
229,Oncology,East,543,803,81707,89
230,Cardiology,West,761,750,28792,74
231,Oncology,West,903,784,79444,16
232,Oncology,South,105,233,7279,52
233,Oncology,West,234,162,96127,46
234,Cardiology,West,647,502,15711,10
235,Oncology,West,220,533,58102,55
236,General,West,96,87,49540,95
237,Cardiology,East,974,202,49914,4
238,Oncology,East,980,552,65942,50
239,Cardiology,East,576,400,8404,57
240,General,North,443,261,8094,56
241,Oncology,East,729,736,27828,45
242,Oncology,South,684,642,90719,11
243,Oncology,North,115,800,15639,23
244,General,West,750,827,45983,96
245,General,South,971,869,56553,15
246,Cardiology,West,59,713,47587,22
247,Oncology,South,490,66,91503,54
248,Cardiology,North,948,813,33778,15
249,General,North,869,253,34936,99
250,Oncology,East,500,393,54057,17
251,Cardiology,North,273,667,82429,1
252,Cardiology,North,347,459,94048,26
253,General,South,697,346,47009,71
254,General,East,760,614,13232,46
255,Cardiology,East,967,697,25197,2
256,Cardiology,West,249,659,6543,100
257,Cardiology,East,349,575,4564,87
258,General,South,483,563,63137,98
259,General,East,982,491,94362,46
260,General,South,450,371,2433,5
261,Oncology,North,448,393,86923,73
262,Oncology,North,245,686,19173,68
263,Oncology,West,992,523,67660,58
264,General,South,988,503,30473,63
265,Cardiology,West,404,814,9446,87
266,Oncology,South,74,640,56947,70
267,General,North,608,184,15814,20
268,Cardiology,West,234,677,81999,73
269,General,North,420,565,91632,67
270,General,South,413,503,21561,74
271,Cardiology,North,976,207,35957,60
272,Oncology,East,196,33,88935,84
273,General,East,349,118,66677,81
274,Cardiology,East,74,629,72108,55
275,Oncology,West,610,294,26260,5
276,Cardiology,West,153,104,43471,61
277,Oncology,West,618,888,49646,76
278,General,North,357,321,55564,22
279,Oncology,North,356,304,4299,100
280,Cardiology,North,986,487,49882,73
281,Oncology,South,886,399,16882,6
282,Oncology,South,667,651,51376,36
283,General,East,422,379,13021,43
284,Oncology,South,531,58,90821,90
285,Cardiology,West,896,354,16370,69
286,Oncology,East,400,62,20102,10
287,General,South,634,805,8900,94
288,General,East,770,250,94540,50
289,Cardiology,West,381,385,95328,24
290,Oncology,North,643,71,31203,60
291,General,South,446,714,20276,83
292,General,North,887,329,61561,10
293,Oncology,East,194,376,33233,21
294,Cardiology,East,890,336,76772,72
295,Oncology,North,864,705,56062,32
296,Oncology,East,578,696,19200,33
297,Cardiology,North,610,332,39752,8
298,Oncology,East,146,774,12974,50
299,General,South,189,37,26882,11
300,Oncology,West,251,95,58919,20
301,Oncology,East,362,250,44027,66
302,Cardiology,West,690,149,63889,96
303,Oncology,North,677,360,67295,94
304,Oncology,North,692,854,56358,87
305,Oncology,North,230,338,68134,72
306,Cardiology,North,217,894,43119,71
307,Cardiology,South,602,835,66098,46
308,General,East,522,333,35200,1
309,Cardiology,East,630,42,44995,40
310,General,North,838,571,63790,28
311,General,South,624,740,17403,25
312,Cardiology,North,942,283,75641,90
313,Cardiology,West,167,833,86903,75
314,Oncology,North,66,202,88697,64
315,Cardiology,West,194,470,55352,90
316,Cardiology,North,334,453,19429,53
317,Cardiology,West,713,708,71851,12
318,Cardiology,South,71,814,33685,17
319,General,South,299,28,45870,38
320,General,North,999,899,42330,61
321,Oncology,North,589,322,42631,49
322,Cardiology,East,189,407,13983,18
323,General,South,252,526,6307,93
324,Oncology,East,296,782,34882,72
325,Oncology,North,595,452,56221,45
326,General,North,904,630,70708,9
327,General,East,640,59,31151,52
328,Oncology,North,747,365,35689,60
329,Oncology,West,226,528,60261,33
330,Oncology,West,682,453,73166,36
331,Cardiology,North,920,891,26646,37
332,Oncology,South,945,533,80862,43
333,Oncology,West,535,216,65392,65
334,General,North,203,399,5550,31
335,Oncology,South,199,471,90041,5
336,General,South,605,510,63558,84
337,Cardiology,North,791,66,58353,94
338,Cardiology,East,733,219,85852,70
339,Cardiology,East,248,424,80317,68
340,Cardiology,East,880,733,32934,32
341,Cardiology,North,271,627,5314,93
342,General,South,237,669,41166,80
343,General,South,217,570,70350,15
344,Oncology,West,459,667,12375,25
345,Oncology,West,792,274,41315,3
346,Oncology,East,628,317,82783,41
347,Oncology,West,313,386,44325,71
348,Cardiology,North,871,718,16620,14
349,Cardiology,West,505,701,31577,73
350,Cardiology,East,982,893,67219,19
351,Cardiology,North,419,37,46595,84
352,Cardiology,South,477,747,45558,77
353,Oncology,North,197,456,32092,15
354,Cardiology,East,685,166,43091,14
355,Oncology,West,547,386,42266,47
356,General,South,758,704,59753,31
357,Cardiology,West,464,250,27487,99
358,Cardiology,South,151,453,34090,44
359,Cardiology,South,646,826,96719,96
360,Oncology,South,95,566,47859,91
361,Oncology,South,458,309,15100,33
362,Oncology,East,737,364,52431,14
363,Oncology,West,526,890,12618,56
364,Cardiology,West,621,500,7310,79
365,General,North,553,374,19980,53
366,Oncology,North,634,489,63603,48
367,General,South,118,510,43532,97
368,Cardiology,West,889,404,66597,54
369,Oncology,East,718,426,26477,33
370,General,North,778,71,87998,37
371,Cardiology,West,525,652,14063,1
372,Cardiology,West,382,214,14524,7
373,Oncology,South,572,177,51462,75
374,Cardiology,North,210,792,47954,21
375,General,West,420,33,27858,85
376,Cardiology,South,184,784,82117,17
377,Cardiology,East,671,97,87720,9
378,Oncology,North,205,780,96522,52
379,Cardiology,North,116,102,78925,19
380,General,South,336,203,2881,73
381,Cardiology,West,145,214,77014,35
382,Oncology,South,199,514,73869,95
383,Cardiology,East,475,24,80464,94
384,Oncology,South,501,89,29158,20
385,Cardiology,West,223,96,41759,69
386,General,North,132,696,92193,54
387,General,West,485,871,29105,4
388,General,West,351,263,29816,40
389,Cardiology,North,66,685,82902,19
390,Oncology,South,457,800,25180,78
391,Cardiology,West,814,819,4633,12
392,Cardiology,South,957,646,27530,20
393,General,South,999,261,85007,60
394,Oncology,South,335,817,20048,54
395,General,North,864,651,15298,46
396,Cardiology,South,318,73,17623,89
397,Cardiology,North,648,329,69000,93
398,Oncology,North,479,223,47752,30
399,Oncology,East,146,686,37003,9
400,Oncology,South,972,264,17338,31
401,Oncology,East,79,748,52093,70
402,Cardiology,West,559,549,12776,83
403,General,North,192,625,69626,11
404,General,South,444,529,29731,38
405,Oncology,West,107,236,41087,40
406,Cardiology,West,981,628,62754,38
407,Oncology,East,483,497,41514,74
408,General,North,211,609,25899,58
409,Cardiology,West,775,236,68681,5
410,General,South,903,618,33928,47
411,General,South,686,759,94937,60
412,General,South,710,299,23571,87
413,General,East,608,403,17056,2
414,Oncology,North,506,466,60549,82
415,Cardiology,North,383,735,10246,48
416,Cardiology,South,574,367,2736,93
417,Cardiology,West,300,512,10422,88
418,Oncology,East,403,592,52819,38
419,General,West,640,414,23871,19
420,Oncology,West,62,367,60618,29
421,Oncology,South,263,477,17462,34
422,Oncology,East,614,471,68978,30
423,Cardiology,West,857,492,81757,79
424,Oncology,North,493,465,1460,16
425,General,East,253,890,43031,33
426,General,South,843,872,5635,74
427,General,North,401,140,18366,99
428,General,South,789,887,47511,43
429,Cardiology,South,133,156,90853,93
430,General,South,482,122,34470,4
431,General,East,181,127,4457,28
432,Oncology,North,687,880,27776,13
433,Oncology,North,680,676,68009,69
434,Cardiology,West,95,44,17714,70
435,Cardiology,South,51,29,58315,99
436,General,East,573,691,50991,8
437,General,North,967,821,89973,77
438,Cardiology,West,396,733,54366,62
439,Oncology,North,588,45,25376,81
440,Cardiology,East,115,786,36288,83
441,General,North,267,465,14196,79
442,General,North,167,798,22239,47
443,Cardiology,North,136,783,63189,32
444,General,South,960,340,41445,83
445,Oncology,North,920,202,72742,87
446,Oncology,West,317,88,46106,53
447,Oncology,North,744,660,98159,31
448,General,West,452,227,67210,59
449,General,East,458,487,92389,84
450,General,East,514,403,44818,19
451,Oncology,East,202,748,14057,45
452,Cardiology,East,722,480,57919,71
453,Oncology,West,666,49,41652,54
454,General,South,134,589,24836,40
455,Cardiology,North,92,260,60229,97
456,Oncology,South,544,782,15442,31
457,Cardiology,West,243,566,52650,40
458,Oncology,North,75,770,73970,83
459,General,East,367,178,95259,54
460,Oncology,East,913,532,34898,64
461,General,North,205,632,56603,14
462,Cardiology,North,349,384,43514,35
463,Oncology,South,762,812,65022,58
464,Oncology,East,366,138,51539,40
465,General,North,227,470,71726,1
466,Cardiology,South,507,168,98813,41
467,Cardiology,North,451,44,18777,92
468,Cardiology,West,462,823,50803,95
469,Cardiology,South,483,260,18335,92
470,Cardiology,North,458,748,70597,66
471,General,West,441,676,22502,87
472,Cardiology,East,446,642,34894,63
473,General,East,881,329,94002,67
474,Cardiology,East,793,114,51380,99
475,General,East,468,533,39380,49
476,General,South,939,873,3936,78
477,Oncology,West,158,561,64257,38
478,General,South,418,883,54431,77
479,Oncology,West,467,447,71678,83
480,General,West,640,661,76177,20
481,Oncology,West,834,160,28251,71
482,Cardiology,North,592,332,92703,43
483,Oncology,North,257,387,88349,5
484,General,North,986,314,99954,35
485,Oncology,East,614,265,55513,87
486,General,West,980,367,42062,21
487,Cardiology,South,348,621,71957,58
488,General,West,117,85,22673,91
489,Cardiology,West,712,837,22532,89
490,General,East,395,807,19372,85
491,Oncology,East,901,543,35055,52
492,General,South,337,407,16232,44
493,Oncology,North,148,408,25234,29
494,Oncology,South,646,647,20299,4
495,Cardiology,East,58,770,42833,99
496,General,North,725,778,16282,22
497,Cardiology,West,490,397,6751,48
498,Cardiology,North,81,44,88955,100
499,General,North,420,693,40784,10
