date,medicine,region,units_sold,marketing_spend,revenue
2021-05-28,DrugA,East,436,42082,20056
2021-05-29,DrugB,South,656,23362,41328
2021-05-30,DrugB,East,536,35191,61104
2021-05-31,DrugB,West,397,31255,48434
2021-06-01,DrugB,North,541,5038,29214
2021-06-02,DrugB,South,60,36635,7140
2021-06-03,DrugB,West,730,25542,105850
2021-06-04,DrugB,North,237,2932,34839
2021-06-05,DrugC,North,243,26141,10935
2021-06-06,DrugB,East,316,17371,11692
2021-06-07,DrugC,West,88,8679,9856
2021-06-08,DrugA,North,537,5276,47256
2021-06-09,DrugC,West,384,47637,24960
2021-06-10,DrugA,East,449,27876,45798
2021-06-11,DrugC,East,459,15657,67473
2021-06-12,DrugA,South,154,23116,10164
2021-06-13,DrugA,West,775,46398,46500
2021-06-14,DrugA,West,108,2481,14904
2021-06-15,DrugA,East,183,10288,22509
2021-06-16,DrugC,North,162,49342,23814
2021-06-17,DrugB,South,313,5259,26292
2021-06-18,DrugC,West,728,21390,35672
2021-06-19,DrugB,North,830,19023,35690
2021-06-20,DrugB,West,903,45657,116487
2021-06-21,DrugC,West,74,41660,5994
2021-06-22,DrugA,North,581,4165,85988
2021-06-23,DrugB,West,70,31378,2310
2021-06-24,DrugB,North,783,32752,82215
2021-06-25,DrugC,East,441,37174,30870
2021-06-26,DrugA,North,634,25342,31700
2021-06-27,DrugC,East,239,25328,17925
2021-06-28,DrugC,South,349,47095,14309
2021-06-29,DrugB,West,376,40406,39104
2021-06-30,DrugB,North,385,47997,37730
2021-07-01,DrugB,East,462,39146,30030
2021-07-02,DrugB,South,848,45026,111936
2021-07-03,DrugA,East,831,24729,56508
2021-07-04,DrugB,West,755,12698,25670
2021-07-05,DrugB,East,922,6610,40568
2021-07-06,DrugC,North,452,4349,21244
2021-07-07,DrugC,South,538,2852,66174
2021-07-08,DrugA,South,978,31512,80196
2021-07-09,DrugC,South,455,38997,49595
2021-07-10,DrugC,North,198,46708,18216
2021-07-11,DrugB,North,631,21979,37229
2021-07-12,DrugB,South,630,39783,28980
2021-07-13,DrugA,East,568,35273,61912
2021-07-14,DrugA,North,288,22618,27072
2021-07-15,DrugA,South,131,10678,6288
2021-07-16,DrugC,South,824,23192,37904
2021-07-17,DrugC,West,92,6420,12880
2021-07-18,DrugA,South,958,11366,91010
2021-07-19,DrugC,East,412,35648,50264
2021-07-20,DrugC,West,382,45674,33616
2021-07-21,DrugC,South,301,19615,24682
2021-07-22,DrugB,North,760,41272,106400
2021-07-23,DrugC,East,824,17883,29664
2021-07-24,DrugC,North,110,35819,9790
2021-07-25,DrugB,South,831,44168,88086
2021-07-26,DrugC,North,400,5078,51200
2021-07-27,DrugB,North,276,39146,9660
2021-07-28,DrugA,North,558,12617,75330
2021-07-29,DrugA,East,660,24705,89760
2021-07-30,DrugA,South,475,48860,46550
2021-07-31,DrugB,North,441,11245,47628
2021-08-01,DrugA,West,761,19117,74578
2021-08-02,DrugA,East,760,24981,90440
2021-08-03,DrugB,South,824,29255,69216
2021-08-04,DrugB,South,482,14584,45308
2021-08-05,DrugB,West,418,12211,51832
2021-08-06,DrugB,South,946,33815,92708
2021-08-07,DrugC,South,525,40417,33075
2021-08-08,DrugA,North,635,12226,68580
2021-08-09,DrugB,West,499,23365,21457
2021-08-10,DrugC,West,428,30331,27392
2021-08-11,DrugC,South,553,15680,47005
2021-08-12,DrugC,South,518,19259,49728
2021-08-13,DrugA,East,50,42545,3200
2021-08-14,DrugA,East,751,10135,94626
2021-08-15,DrugA,South,655,43213,45195
2021-08-16,DrugC,West,247,45385,7657
2021-08-17,DrugC,North,614,4308,62014
2021-08-18,DrugA,West,647,25143,23292
2021-08-19,DrugC,North,472,13449,61360
2021-08-20,DrugB,South,96,24547,4416
2021-08-21,DrugC,North,469,19258,15946
2021-08-22,DrugA,East,263,27716,37609
2021-08-23,DrugC,East,702,28668,68094
2021-08-24,DrugC,East,773,47609,106674
2021-08-25,DrugB,South,716,2559,94512
2021-08-26,DrugC,East,929,21851,39018
2021-08-27,DrugC,West,190,22163,23940
2021-08-28,DrugA,North,641,21491,49998
2021-08-29,DrugA,North,436,40717,17004
2021-08-30,DrugC,North,954,5226,49608
2021-08-31,DrugC,North,435,6604,45240
2021-09-01,DrugC,East,861,48751,77490
2021-09-02,DrugB,West,383,23393,54769
2021-09-03,DrugA,West,111,47499,8436
2021-09-04,DrugA,West,493,7829,67541
2021-09-05,DrugA,East,938,32573,28140
2021-09-06,DrugB,East,669,35254,65562
2021-09-07,DrugB,West,420,49569,53340
2021-09-08,DrugB,East,334,42605,27722
2021-09-09,DrugC,East,340,13537,33320
2021-09-10,DrugC,East,560,22427,54320
2021-09-11,DrugB,South,605,5387,71390
2021-09-12,DrugC,North,905,27984,49775
2021-09-13,DrugB,South,377,30212,33176
2021-09-14,DrugC,East,372,23288,13020
2021-09-15,DrugB,West,363,40704,53361
2021-09-16,DrugC,East,953,12742,81005
2021-09-17,DrugB,West,397,33827,44861
2021-09-18,DrugC,North,794,4546,68284
2021-09-19,DrugC,East,596,22920,18476
2021-09-20,DrugB,North,900,44763,39600
2021-09-21,DrugC,West,546,49976,72618
2021-09-22,DrugC,North,864,19813,71712
2021-09-23,DrugA,South,158,40732,5688
2021-09-24,DrugC,North,376,38688,44744
2021-09-25,DrugB,East,795,7395,106530
2021-09-26,DrugB,East,399,44111,37506
2021-09-27,DrugC,South,279,31268,18135
2021-09-28,DrugB,South,337,16498,13143
2021-09-29,DrugC,West,949,9246,138554
2021-09-30,DrugA,West,533,38668,26117
2021-10-01,DrugA,West,968,23134,33880
2021-10-02,DrugA,East,741,13862,67431
2021-10-03,DrugC,East,499,38309,21457
2021-10-04,DrugB,South,125,36641,10125
2021-10-05,DrugC,West,721,25640,103824
2021-10-06,DrugA,South,793,11413,106262
2021-10-07,DrugA,South,260,6720,15600
2021-10-08,DrugA,South,398,19614,55720
2021-10-09,DrugA,North,178,18430,6942
2021-10-10,DrugC,West,589,49718,40641
2021-10-11,DrugC,West,892,39741,91876
2021-10-12,DrugC,South,855,44559,35055
2021-10-13,DrugC,West,258,37325,27090
2021-10-14,DrugC,South,197,8634,24034
2021-10-15,DrugC,South,451,16372,24805
2021-10-16,DrugC,West,608,6625,46208
2021-10-17,DrugA,West,886,19006,38984
2021-10-18,DrugA,West,756,37646,32508
2021-10-19,DrugA,West,970,17417,78570
2021-10-20,DrugC,East,616,36218,48048
2021-10-21,DrugB,West,963,6669,109782
2021-10-22,DrugB,West,195,26430,17550
2021-10-23,DrugA,West,152,24516,8968
2021-10-24,DrugC,East,69,33918,2553
2021-10-25,DrugC,West,606,17191,83022
2021-10-26,DrugB,South,65,33018,4160
2021-10-27,DrugB,West,831,41988,49860
2021-10-28,DrugA,East,827,3472,121569
2021-10-29,DrugB,South,474,31343,61620
2021-10-30,DrugC,South,955,37582,86905
2021-10-31,DrugA,South,250,9024,9250
2021-11-01,DrugC,East,406,9293,15428
2021-11-02,DrugC,East,155,29265,8370
2021-11-03,DrugB,North,476,42450,31892
2021-11-04,DrugB,East,184,24104,13432
2021-11-05,DrugB,North,364,3958,39676
2021-11-06,DrugC,East,490,37895,25480
2021-11-07,DrugC,West,293,18220,40434
2021-11-08,DrugC,West,991,38372,98109
2021-11-09,DrugB,South,934,45111,39228
2021-11-10,DrugC,North,946,44385,32164
2021-11-11,DrugA,North,802,6074,71378
2021-11-12,DrugB,West,142,43906,11502
2021-11-13,DrugC,West,728,11558,32760
2021-11-14,DrugB,West,574,9245,75768
2021-11-15,DrugB,East,694,48927,95078
2021-11-16,DrugB,South,954,32465,133560
2021-11-17,DrugA,North,155,14798,15965
2021-11-18,DrugC,North,728,3591,66976
2021-11-19,DrugC,South,293,21412,23440
2021-11-20,DrugA,East,653,39718,39180
2021-11-21,DrugB,East,829,4598,80413
2021-11-22,DrugB,South,377,1011,45240
2021-11-23,DrugA,South,93,43566,9486
2021-11-24,DrugB,South,816,2247,84048
2021-11-25,DrugB,East,72,21292,2880
2021-11-26,DrugC,South,666,38114,77922
2021-11-27,DrugB,South,405,37017,14580
2021-11-28,DrugC,West,96,6243,13248
2021-11-29,DrugA,North,985,27531,85695
2021-11-30,DrugA,South,628,25971,51496
2021-12-01,DrugC,North,509,37385,72787
2021-12-02,DrugB,West,930,1477,68820
2021-12-03,DrugC,North,669,38984,73590
2021-12-04,DrugC,South,62,41088,4278
2021-12-05,DrugB,North,749,28282,36701
2021-12-06,DrugC,West,485,20836,25220
2021-12-07,DrugA,North,234,37209,7020
2021-12-08,DrugC,North,898,14227,131108
2021-12-09,DrugA,East,600,24614,57000
2021-12-10,DrugA,South,430,34940,29670
2021-12-11,DrugC,North,209,19060,29887
2021-12-12,DrugA,East,640,47107,90240
2021-12-13,DrugC,East,527,19334,32147
2021-12-14,DrugC,West,152,42571,14896
2021-12-15,DrugB,West,233,43922,29358
2021-12-16,DrugB,South,816,21220,115872
2021-12-17,DrugB,South,271,37506,24119
2021-12-18,DrugC,North,508,23589,62992
2021-12-19,DrugC,East,495,2690,17820
2021-12-20,DrugC,North,654,27809,92868
2021-12-21,DrugB,North,608,45296,50464
2021-12-22,DrugC,South,174,34113,16008
2021-12-23,DrugB,South,831,15601,78114
2021-12-24,DrugC,East,267,46722,34176
2021-12-25,DrugB,South,658,33517,69090
2021-12-26,DrugC,South,587,5124,70440
2021-12-27,DrugC,North,378,48181,12474
2021-12-28,DrugC,West,931,30112,104272
2021-12-29,DrugC,North,52,35653,7020
2021-12-30,DrugC,West,561,13513,35904
2021-12-31,DrugB,North,653,41910,22202
2022-01-01,DrugB,West,313,2789,41316
2022-01-02,DrugC,East,991,13297,83244
2022-01-03,DrugA,South,857,27891,86557
2022-01-04,DrugC,North,57,10500,7638
2022-01-05,DrugA,North,882,44175,101430
2022-01-06,DrugA,East,498,28963,23904
2022-01-07,DrugB,North,470,46318,43710
2022-01-08,DrugA,West,362,5145,23892
2022-01-09,DrugA,East,727,35274,48709
2022-01-10,DrugA,West,635,30350,38735
2022-01-11,DrugB,East,796,2483,59700
2022-01-12,DrugA,West,258,5338,26058
2022-01-13,DrugA,North,230,10585,25990
2022-01-14,DrugA,South,352,27293,46112
2022-01-15,DrugA,North,604,40215,89996
2022-01-16,DrugC,West,645,34357,30960
2022-01-17,DrugC,North,511,39600,64897
2022-01-18,DrugB,West,500,9389,46000
2022-01-19,DrugC,East,254,48234,37592
2022-01-20,DrugC,North,615,15212,91635
2022-01-21,DrugA,West,530,16721,33390
2022-01-22,DrugC,North,703,47995,86469
2022-01-23,DrugA,West,79,43302,10270
2022-01-24,DrugC,West,765,5698,101745
2022-01-25,DrugC,North,459,8090,21573
2022-01-26,DrugA,North,571,17967,37115
2022-01-27,DrugC,North,435,13996,47415
2022-01-28,DrugA,North,723,32400,47718
2022-01-29,DrugB,North,354,24062,16284
2022-01-30,DrugA,North,449,44484,30981
2022-01-31,DrugC,North,465,14197,54405
2022-02-01,DrugC,North,565,11358,22600
2022-02-02,DrugB,North,294,27865,36456
2022-02-03,DrugB,East,939,7345,107985
2022-02-04,DrugB,West,379,46951,21224
2022-02-05,DrugA,South,294,20009,29988
2022-02-06,DrugC,East,114,27491,11172
2022-02-07,DrugA,North,587,5965,43438
2022-02-08,DrugC,South,119,1472,12733
2022-02-09,DrugC,East,604,28662,58588
2022-02-10,DrugA,East,273,16796,38493
2022-02-11,DrugC,South,714,19970,37842
2022-02-12,DrugB,East,672,16468,98784
2022-02-13,DrugC,South,505,40505,55550
2022-02-14,DrugC,South,586,21660,37504
2022-02-15,DrugB,West,65,49350,7475
2022-02-16,DrugA,West,417,7773,44202
2022-02-17,DrugC,South,832,3250,98176
2022-02-18,DrugB,South,525,36237,49875
2022-02-19,DrugA,West,334,20128,11356
2022-02-20,DrugB,West,380,9809,25080
2022-02-21,DrugC,East,279,49654,34317
2022-02-22,DrugB,North,216,26558,29592
2022-02-23,DrugA,East,513,25493,44631
2022-02-24,DrugA,East,309,16697,33681
2022-02-25,DrugB,North,644,34657,90804
2022-02-26,DrugC,East,360,35764,43200
2022-02-27,DrugA,South,469,47238,49245
2022-02-28,DrugC,West,743,17476,87674
2022-03-01,DrugC,South,280,43355,10360
2022-03-02,DrugB,East,217,45184,22134
2022-03-03,DrugC,East,442,23329,18122
2022-03-04,DrugC,South,701,30048,72203
2022-03-05,DrugB,North,450,5059,47250
2022-03-06,DrugC,East,124,15020,12648
2022-03-07,DrugC,South,202,36047,22018
2022-03-08,DrugB,North,865,42841,96880
2022-03-09,DrugA,North,404,24823,12524
2022-03-10,DrugA,South,612,14815,63036
2022-03-11,DrugB,North,587,14779,31111
2022-03-12,DrugA,North,78,20229,5694
2022-03-13,DrugA,North,988,42750,51376
2022-03-14,DrugA,East,734,4282,55050
2022-03-15,DrugB,South,209,5735,7524
2022-03-16,DrugA,West,806,27728,76570
2022-03-17,DrugB,North,609,43485,56637
2022-03-18,DrugA,South,473,36711,61963
2022-03-19,DrugA,East,235,47396,11045
2022-03-20,DrugB,West,234,13628,34866
2022-03-21,DrugC,North,462,14719,61446
2022-03-22,DrugA,West,591,35932,41370
2022-03-23,DrugA,West,829,16217,94506
2022-03-24,DrugA,North,619,15978,25998
2022-03-25,DrugC,North,933,3126,79305
2022-03-26,DrugB,East,951,8126,100806
2022-03-27,DrugC,North,355,19087,36920
2022-03-28,DrugA,North,622,45881,72774
2022-03-29,DrugB,North,153,27680,19125
2022-03-30,DrugA,West,917,47790,136633
2022-03-31,DrugC,East,904,21646,98536
2022-04-01,DrugA,South,888,10211,39960
2022-04-02,DrugB,East,407,4666,35409
2022-04-03,DrugA,South,250,11028,32000
2022-04-04,DrugA,West,590,20837,60770
2022-04-05,DrugB,North,893,49662,129485
2022-04-06,DrugC,North,181,40734,25159
2022-04-07,DrugC,West,488,30126,39528
2022-04-08,DrugC,East,889,40055,96901
2022-04-09,DrugB,South,269,15019,34432
2022-04-10,DrugA,South,265,34179,14575
2022-04-11,DrugA,West,503,1466,25653
2022-04-12,DrugC,North,538,5791,40350
2022-04-13,DrugA,West,718,3426,81134
2022-04-14,DrugB,South,619,6988,87898
2022-04-15,DrugA,West,441,9979,35721
2022-04-16,DrugC,East,328,7841,34440
2022-04-17,DrugC,West,487,4273,61849
2022-04-18,DrugC,West,980,48372,31360
2022-04-19,DrugC,East,385,41657,15400
2022-04-20,DrugA,North,242,38869,32670
2022-04-21,DrugA,West,783,27733,29754
2022-04-22,DrugB,North,91,37018,8463
2022-04-23,DrugB,West,635,32112,85725
2022-04-24,DrugA,North,197,6760,9850
2022-04-25,DrugA,South,443,13926,43857
2022-04-26,DrugA,West,261,34418,13833
2022-04-27,DrugB,West,961,35286,126852
2022-04-28,DrugA,West,50,2845,5650
2022-04-29,DrugA,West,887,23802,39915
2022-04-30,DrugB,East,568,4773,80656
2022-05-01,DrugA,West,205,10928,10250
2022-05-02,DrugA,North,562,19900,71936
2022-05-03,DrugC,West,853,40586,38385
2022-05-04,DrugC,North,64,28594,3136
2022-05-05,DrugC,North,893,3424,132164
2022-05-06,DrugC,West,150,19591,10650
2022-05-07,DrugB,East,738,11660,67158
2022-05-08,DrugC,South,154,33880,15862
2022-05-09,DrugB,North,526,32458,30508
2022-05-10,DrugB,North,948,10730,77736
2022-05-11,DrugC,South,58,37183,3074
2022-05-12,DrugA,North,172,35177,22360
2022-05-13,DrugB,North,575,16587,31625
2022-05-14,DrugC,North,271,18970,37669
2022-05-15,DrugC,East,452,48968,46556
2022-05-16,DrugA,North,752,30505,23312
2022-05-17,DrugC,North,612,22147,62424
2022-05-18,DrugB,West,668,46449,73480
2022-05-19,DrugB,North,605,4309,27830
2022-05-20,DrugA,East,247,5071,9880
2022-05-21,DrugB,North,480,9812,67200
2022-05-22,DrugB,South,903,3773,131838
2022-05-23,DrugC,South,738,8244,27306
2022-05-24,DrugA,South,710,25344,73130
2022-05-25,DrugB,South,359,36291,40208
2022-05-26,DrugB,North,760,4983,57000
2022-05-27,DrugA,North,837,6043,123876
2022-05-28,DrugB,South,445,12014,27145
2022-05-29,DrugB,South,918,23862,63342
2022-05-30,DrugA,West,660,7998,66660
2022-05-31,DrugA,South,781,21736,92158
2022-06-01,DrugA,East,787,37685,48007
2022-06-02,DrugC,North,469,7494,32830
2022-06-03,DrugC,South,332,26159,10292
2022-06-04,DrugA,East,520,5680,48360
2022-06-05,DrugA,South,634,36577,25360
2022-06-06,DrugB,West,173,4031,9515
2022-06-07,DrugC,East,727,21529,39258
2022-06-08,DrugB,South,765,15911,86445
2022-06-09,DrugB,West,892,3441,37464
2022-06-10,DrugC,North,745,10836,76735
2022-06-11,DrugC,North,601,30384,63105
2022-06-12,DrugC,North,415,4706,46065
2022-06-13,DrugC,North,992,18781,85312
2022-06-14,DrugA,South,505,36465,58075
2022-06-15,DrugB,South,206,38256,19776
2022-06-16,DrugA,West,546,17678,46410
2022-06-17,DrugB,South,151,29466,21744
2022-06-18,DrugC,North,138,2137,15732
2022-06-19,DrugA,North,61,33095,2684
2022-06-20,DrugB,West,364,22529,37856
2022-06-21,DrugB,East,490,10654,17640
2022-06-22,DrugB,West,365,26960,31755
2022-06-23,DrugC,South,605,4188,18755
2022-06-24,DrugC,West,605,13663,38115
2022-06-25,DrugB,South,853,15407,86153
2022-06-26,DrugB,North,127,18521,18669
2022-06-27,DrugC,East,613,38943,51492
2022-06-28,DrugA,West,334,35159,19038
2022-06-29,DrugB,South,938,32088,116312
2022-06-30,DrugC,South,337,14221,47854
2022-07-01,DrugB,West,957,46629,89001
2022-07-02,DrugB,North,543,36426,49956
2022-07-03,DrugC,South,502,47314,54718
2022-07-04,DrugB,South,964,43519,116644
2022-07-05,DrugB,East,629,42263,55352
2022-07-06,DrugA,South,527,7958,43741
2022-07-07,DrugB,South,908,23784,126212
2022-07-08,DrugB,North,285,9671,10260
2022-07-09,DrugC,West,533,35917,59163
2022-07-10,DrugB,North,106,47482,9752
2022-07-11,DrugA,West,968,9520,112288
2022-07-12,DrugB,East,832,15176,66560
2022-07-13,DrugA,South,923,36923,41535
2022-07-14,DrugC,West,98,48830,4998
2022-07-15,DrugB,North,152,32236,9272
2022-07-16,DrugA,East,852,26093,52824
2022-07-17,DrugB,East,510,43575,51510
2022-07-18,DrugB,South,488,33423,57096
2022-07-19,DrugA,South,119,10247,15708
2022-07-20,DrugA,West,423,39248,36801
2022-07-21,DrugC,West,130,36021,5850
2022-07-22,DrugC,West,178,23858,14596
2022-07-23,DrugC,South,988,34164,105716
2022-07-24,DrugA,West,420,26192,46200
2022-07-25,DrugA,North,332,19268,46480
2022-07-26,DrugA,South,567,45621,46494
2022-07-27,DrugC,West,576,3258,35136
2022-07-28,DrugA,East,462,25710,31416
2022-07-29,DrugB,North,963,44801,119412
2022-07-30,DrugC,West,463,32745,64357
2022-07-31,DrugC,East,985,37127,50235
2022-08-01,DrugB,West,553,7824,67466
2022-08-02,DrugB,West,171,28764,11970
2022-08-03,DrugB,North,414,9571,39330
2022-08-04,DrugA,West,456,3631,28728
2022-08-05,DrugC,North,105,42481,3675
2022-08-06,DrugC,West,336,35816,26208
2022-08-07,DrugB,South,795,41647,31800
2022-08-08,DrugC,South,774,20255,33282
2022-08-09,DrugB,West,437,8915,43700
2022-08-10,DrugA,South,658,15984,43428
2022-08-11,DrugC,South,138,26904,7176
2022-08-12,DrugB,South,992,33878,130944
2022-08-13,DrugB,North,920,21022,68080
2022-08-14,DrugA,West,871,31274,76648
2022-08-15,DrugB,South,695,18107,54210
2022-08-16,DrugA,West,130,5540,3900
2022-08-17,DrugB,West,841,25772,77372
2022-08-18,DrugC,East,399,28891,39900
2022-08-19,DrugA,South,878,46467,127310
2022-08-20,DrugB,East,116,37578,4640
2022-08-21,DrugC,North,175,35668,14700
2022-08-22,DrugA,East,857,31133,52277
2022-08-23,DrugA,East,498,11768,47808
2022-08-24,DrugB,West,549,32559,60390
2022-08-25,DrugB,West,445,13763,31150
2022-08-26,DrugA,West,674,28539,27634
2022-08-27,DrugC,South,282,21732,10434
2022-08-28,DrugC,East,595,38195,47005
2022-08-29,DrugC,North,544,39236,42976
2022-08-30,DrugC,East,998,13178,30938
2022-08-31,DrugC,East,957,18420,32538
2022-09-01,DrugB,North,369,48483,44280
2022-09-02,DrugA,East,312,10305,12168
2022-09-03,DrugB,East,685,31549,80145
2022-09-04,DrugC,North,776,13741,104760
2022-09-05,DrugA,South,272,45714,35088
2022-09-06,DrugB,West,976,4876,76128
2022-09-07,DrugB,West,280,4381,20720
2022-09-08,DrugA,East,721,48546,36771
2022-09-09,DrugB,East,138,38908,18216
2022-09-10,DrugC,West,384,16297,25344
2022-09-11,DrugC,South,845,13780,88725
2022-09-12,DrugB,West,544,14342,51680
2022-09-13,DrugB,South,982,38900,68740
2022-09-14,DrugC,West,666,23770,90576
2022-09-15,DrugB,West,566,26755,74146
2022-09-16,DrugA,North,863,19489,113916
2022-09-17,DrugC,West,658,21848,71722
2022-09-18,DrugC,North,212,46884,7420
2022-09-19,DrugC,South,872,41947,115104
2022-09-20,DrugB,North,959,21801,96859
2022-09-21,DrugA,East,760,17144,47880
2022-09-22,DrugC,West,495,17057,64845
2022-09-23,DrugB,South,85,21991,3910
2022-09-24,DrugC,East,792,37812,59400
2022-09-25,DrugA,East,847,44323,40656
2022-09-26,DrugB,South,117,4527,17316
